GROUP;DESCRIPTION;P/N;ALT P/N;MIN QTY;UNIT
Repairable Part;VOR;013-00049-01;N/A;;EA
Repairable Part;VOR;5057-2000;N/A;;EA
Repairable Part;VOR;066-3056-02;N/A;;EA
Repairable Part;VOR;066-3034-00;N/A;;EA
Repairable Part;VOR;066-3056-01;N/A;;EA
Repairable Part;VOR;46860-2000;N/A;;EA
Repairable Part;VOR;50570-1000;N/A;;EA
Repairable Part;VOR KI209A;066-3056-11;N/A;;EA
Repairable Part;VOR/LOC/GS/GPS IND;0666-3056-11;N/A;;EA
Repairable Part;VSI;C661080-0101;N/A;;EA
Repairable Part;VSI;S3327-1;N/A;;EA
Repairable Part;YAW SENSOR;XW-2006-Y REVA;N/A;;EA
Rotable Part;A/H;102-0071-03;RCA22-11;;EA
Rotable Part;AIRCRAFT ENGINE;O-320-D2J;N/A;;EA
Rotable Part;ASPEN EFD1000 PRO INSTAL KIT;ASP_EFD_PRO_001;N/A;;KITS
Rotable Part;ASPEN EFD1000 VFR INSTALL KITS;ASP_EFD_VFR_001;N/A;;KITS
Rotable Part;CARBURATOR;10-5217-H;N/A;;EA
Rotable Part;CARBURETOR;10-5217RPD;N/A;;EA
Rotable Part;DGI;1U262-003-14;4000C;;EA
Rotable Part;DOWEL;A-2973-6;N/A;;EA
Rotable Part;LIFE VEST;AS1512;N/A;;EA
Rotable Part;LIFE VEST;102MK3;N/A;;EA
Rotable Part;LIFE VEST;P0723E105P;N/A;;EA
Rotable Part;LIFE VEST;PO1723E105P;N/A;;EA
Rotable Part;LIFE VEST;P01074-101;N/A;;EA
Rotable Part;LIVEFEST;PO723E105P;N/A;;EA
Rotable Part;MAGNETO;4371;N/A;;EA
Rotable Part;MAGNETO DUAL;10-682555-13R;N/A;;EA
Rotable Part;MAGNETO DUAL;10-682555-16R;N/A;;EA
Rotable Part;OIL COOLER;8406R/20002A;N/A;;EA
Rotable Part;PROPELLER;1C235/LFA7570;N/A;;EA
Rotable Part;PROPELLER;1C160/DTM7557MI;N/A;;EA
Rotable Part;SPACER;B-3898 (D-4521);N/A;;EA
Tools;AFM8 KIT;AFM8-KIT;N/A;;KIT
Tools;ATS 90 DEGREE ANGEL DRILL;12-01422;N/A;;EA
Tools;BELT TENSION;OTC6673;N/A;;EA
Tools;CABLE TENSION METER;ACM.200;N/A;;EA
Tools;CABLE TESTER;MODEL E5;N/A;;EA
Tools;CYLINDER PREASSURE TESTER;E2M;N/A;;EA
Tools;HAND FUEL PUMP;LP-32;N/A;;EA
Tools;RAPCO BRAKE RIVET;10-02065;N/A;;EA
Tools;SHATOX PETROLEUM QUALITY ANALYZER;SX-150;N/A;;EA
Tools;THREADED DRILL BIT;12-04089;N/A;;EA
Tools;THREADED DRILL BIT;12-04066;N/A;;EA
Tools;THREADED DRILL BIT;12-04077;N/A;;EA
Tools;TOOL OIL PRESURE;304-00102;N/A;;EA
Tools;VOTALITY FUEL;VOTALITY;N/A;;EA
Tools;WEIGHING SCALE;M2000-3KP;N/A;;SET
Tools;WIRE TWISTTER;J197;N/A;;EA
